         *         *         *         *         *         *         *     0.000         *         *         *         *    -0.401     0.712    1
     1.000     1.000     1.000     2.000     1.000     1.000     2.000     0.000     1.000     1.000     2.000     1.000     0.609     0.322   53
     0.000    -3.000     0.000     0.000     0.000    -3.000     0.000     0.000    -3.000     0.000     0.000    -3.000    -1.288     0.322   54
     0.000    -3.000     0.000    -2.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000     0.000     1.000    -1.843     0.322   55
     1.000    -3.000     1.000     2.000    -2.000     1.000     1.000     2.000     0.000     1.000     2.000     2.000     0.423     0.322   56
     2.000     2.000     2.000     3.000     3.000     3.000     2.000     2.000     2.000     2.000     2.000     2.000     1.351     0.322   57
     3.000     2.000     3.000     3.000     3.000    -1.000     1.000     2.000     3.000     3.000     1.000     3.000     1.299     0.322   58
     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     0.121     0.322   59
     1.000     0.000     2.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.205     0.322   60
         *         *         *         *         *         *         *         *         *         *         *     2.000     0.730     0.770   61
     2.000     0.000     2.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     2.000     1.000     0.257     0.322   62
         *         *         *         *         *         *     0.000     0.000     0.000     0.000         *         *    -0.467     0.466   63
    -2.000    -2.000     1.000    -2.000    -3.000    -2.000     2.000     2.000     1.000     2.000     2.000    -2.000    -0.060     0.322   64
     1.000     1.000     3.000     1.000    -1.000     1.000     1.000     1.000     2.000     2.000     2.000     1.000     0.793     0.322   65
     2.000     0.000     2.000     2.000     0.000     0.000     2.000     2.000     2.000     2.000     2.000     2.000     1.046     0.322   66
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.998     0.322   68
     0.000    -3.000    -3.000     0.000     0.000    -3.000     0.000     2.000    -2.000     3.000     1.000     1.000    -0.404     0.322   69
     2.000     2.000     2.000     2.000     1.000     2.000     3.000     2.000     1.000     2.000     3.000     3.000     1.516     0.322   70
     3.000     3.000     3.000     0.000     0.000     2.000     3.000     3.000     3.000     3.000     3.000     3.000     1.939     0.322   71
     1.000     0.000     0.000     2.000     2.000     1.000     0.000     0.000     1.000     0.000     0.000    -1.000    -0.262     0.322   72
    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000     1.000     1.000     1.000     1.000     1.000    -1.000    -0.518     0.322   73
     2.000    -2.000     1.000     0.000     0.000     1.000     2.000     1.000     1.000     1.000     2.000     1.000     0.498     0.322   74
     1.000     0.000     1.000    -2.000    -1.000    -2.000    -1.000     0.000     1.000     1.000     1.000     1.000    -0.206     0.322   75
