         *         *         *         *         *         *         *     0.000         *         *         *         *    -0.401     0.712    1
     2.000     0.000     2.000     2.000     0.000     2.000     2.000     2.000     3.000    -1.000     2.000     2.000     0.987     0.322  313
     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.118     0.322  314
         *         *         *     0.000     0.000     0.000     2.000     3.000     3.000     2.000     2.000     1.000     1.094     0.353  315
    -2.000     0.000     2.000    -1.000     0.000         *     0.000     0.000     1.000     0.000         *     1.000    -0.224     0.354  316
     3.000    -3.000     3.000    -3.000    -3.000    -3.000    -3.000     0.000     0.000     0.000     0.000    -1.000    -0.996     0.322  317
     1.000     1.000     1.000    -1.000    -1.000    -1.000     2.000     2.000    -1.000     1.000     2.000     1.000     0.411     0.322  318
     0.000     0.000    -2.000     0.000     0.000     0.000         *         *         *         *         *     0.000    -0.425     0.489  319
     2.000     2.000     1.000    -3.000    -3.000     1.000     0.000     0.000     0.000     0.000     0.000    -1.000    -0.362     0.322  320
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.265     0.322  321
     2.000    -2.000     1.000     1.000    -1.000    -2.000    -1.000    -2.000     0.000     0.000    -2.000     0.000    -1.042     0.322  322
     0.000    -2.000     0.000    -2.000    -2.000    -2.000    -2.000     2.000     2.000     2.000     0.000    -2.000    -0.629     0.322  323
     2.000     0.000     2.000     1.000     0.000     1.000     1.000     0.000     0.000     2.000     2.000     0.000     0.386     0.322  324
     1.000     1.000     1.000     1.000     2.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.184     0.322  325
     3.000     1.000     2.000     1.000    -1.000     1.000     2.000     2.000     3.000     1.000     2.000     2.000     1.165     0.322  326
     0.000     1.000     1.000     0.000     1.000     1.000     0.000    -2.000    -1.000     0.000     1.000     2.000    -0.221     0.322  327
     2.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     1.000     1.000     1.000     0.186     0.322  328
     3.000     3.000     3.000     3.000     2.000     1.000     2.000     3.000    -1.000     2.000     3.000     2.000     1.393     0.322  329
     1.000     2.000     2.000    -1.000     0.000     0.000     2.000     1.000     1.000     0.000     1.000     1.000     0.433     0.322  330
     3.000     2.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.059     0.322  331
         *         *         *         *         *         *     0.000     0.000     1.000     0.000         *     1.000    -0.176     0.422  332
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000    -0.365     0.322  333
     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.118     0.322  334
     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000    -0.074     0.322  335
         *         *         *         *         *         *    -3.000         *         *         *         *         *    -2.096     0.735  336
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.998     0.322  337
     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.118     0.322  338
     2.000     1.000     2.000     2.000     3.000     2.000     1.000     2.000     1.000     1.000     0.000     1.000     0.560     0.322  339
    -2.000    -2.000    -2.000    -2.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.803     0.322  340
         *         *         *    -1.000         *         *     1.000     0.000     0.000     2.000     1.000     1.000     0.034     0.360  341
     1.000    -2.000     2.000     1.000    -1.000    -2.000     1.000     0.000    -1.000    -1.000     1.000    -1.000    -0.470     0.322  342
     2.000     2.000     3.000     2.000     2.000     2.000     3.000     2.000     2.000     1.000     3.000     2.000     1.492     0.322  343
     0.000    -2.000     0.000    -2.000    -3.000    -3.000     0.000     1.000    -2.000     1.000     0.000     2.000    -0.597     0.322  344
     3.000     0.000     3.000     3.000    -2.000    -2.000     2.000    -2.000     2.000     1.000    -2.000     1.000    -0.039     0.322  345
    -1.000     1.000     2.000     2.000    -2.000    -2.000     1.000     2.000     2.000     2.000     0.000     3.000     0.539     0.322  346
    -2.000    -2.000    -2.000     2.000    -1.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -1.994     0.322  347
     3.000     3.000     3.000     2.000     3.000     2.000     3.000     3.000     2.000     3.000     3.000     2.000     1.859     0.322  348
     1.000     1.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.108     0.322  349
     1.000    -2.000    -2.000     2.000    -2.000    -2.000     1.000     3.000     1.000     2.000     2.000     2.000     0.476     0.322  350
     0.000    -1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     1.000     1.000    -0.074     0.322  351
     1.000     0.000    -3.000     2.000     2.000     0.000     1.000     3.000     3.000     2.000     3.000     2.000     0.991     0.322  352
    -3.000    -3.000    -3.000    -2.000    -2.000         *    -2.000    -1.000    -3.000    -3.000    -2.000    -1.000    -2.296     0.325  353
     1.000     2.000     2.000     2.000     1.000     2.000     2.000     3.000     2.000     1.000     3.000     2.000     1.362     0.322  354
     2.000     3.000     3.000     2.000     3.000     2.000     3.000     2.000     1.000     2.000     3.000     2.000     1.549     0.322  355
     1.000     0.000     0.000     0.000    -2.000    -1.000     0.000     0.000     1.000     0.000     1.000     1.000    -0.120     0.322  356
     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000     0.000    -0.074     0.322  357
     2.000     0.000     1.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     1.454     0.322  358
     0.000    -1.000     0.000     0.000    -2.000    -1.000     1.000     1.000     0.000     0.000     0.000     1.000    -0.262     0.322  359
     0.000    -3.000    -3.000    -3.000    -3.000    -3.000     0.000     0.000    -2.000     0.000    -1.000    -1.000    -1.434     0.322  360
     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     3.000     2.000     3.000     1.397     0.322  361
     2.000     1.000     2.000     2.000     1.000     1.000     2.000     2.000     2.000     2.000     3.000     2.000     1.299     0.322  362
     0.000    -3.000     0.000    -2.000    -2.000    -2.000     0.000    -2.000    -2.000    -2.000     0.000     0.000    -1.301     0.322  363
     2.000     2.000     2.000     2.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     0.424     0.322  364
     2.000     2.000     3.000     2.000     2.000     3.000     3.000     2.000     2.000     3.000     3.000     3.000     1.778     0.322  365
     3.000     1.000     3.000     3.000     3.000     0.000     2.000     3.000     2.000     2.000     2.000     1.000     1.272     0.322  366
     0.000    -1.000     1.000    -2.000    -3.000    -1.000     0.000     1.000     1.000     0.000     0.000     0.000    -0.414     0.322  367
     1.000     2.000     0.000     1.000     2.000     1.000     2.000     1.000     2.000     1.000     2.000    -1.000     0.586     0.322  368
     2.000    -2.000    -2.000    -3.000    -3.000    -3.000     0.000    -2.000    -2.000    -1.000     0.000     0.000    -1.241     0.322  369
     0.000         *     0.000     1.000     0.000         *     2.000     1.000     2.000     1.000         *     1.000     0.481     0.370  370
    -1.000    -2.000    -2.000    -2.000    -3.000    -3.000    -1.000    -2.000    -2.000    -2.000     0.000    -2.000    -1.744     0.322  371
     0.000    -3.000    -3.000    -3.000    -3.000    -3.000     0.000    -3.000    -3.000    -3.000     0.000    -3.000    -2.074     0.322  372
     3.000    -3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     1.765     0.322  373
     3.000    -3.000     3.000         *    -3.000    -3.000     2.000     3.000    -3.000     3.000     3.000     3.000     0.671     0.324  374
     3.000     3.000     3.000     0.000     0.000     2.000     3.000     2.000     2.000     2.000     2.000     1.000     1.347     0.322  375
     0.000    -2.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000    -0.390     0.322  376
         *    -3.000     0.000     0.000    -3.000    -3.000     0.000     0.000     0.000     0.000     2.000     1.000    -0.360     0.328  377
     2.000     1.000    -1.000     2.000     1.000     0.000     3.000     2.000     1.000     0.000     3.000     0.000     0.796     0.322  378
     3.000     2.000     3.000     3.000     3.000     3.000     3.000     3.000     0.000     3.000     3.000     3.000     1.794     0.322  379
     3.000     0.000     3.000     2.000     2.000     2.000     3.000     3.000     2.000     3.000     3.000     2.000     1.671     0.322  380
         *         *         *         *         *         *     3.000    -3.000     0.000     0.000    -3.000     1.000    -0.944     0.374  381
    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000     1.000     0.000     1.000    -1.000     1.000     1.000    -0.570     0.322  382
     3.000     0.000     3.000     3.000     0.000     2.000     2.000     3.000     3.000     3.000     3.000     3.000     1.758     0.322  383
     2.000     2.000     2.000     3.000     1.000     3.000     3.000     2.000     2.000     3.000     3.000     2.000     1.658     0.322  384
     2.000    -2.000     1.000     0.000    -1.000    -3.000     2.000     2.000    -3.000     1.000     3.000     2.000     0.308     0.322  385
     0.000    -2.000     2.000    -1.000     0.000     0.000     1.000     2.000     1.000     2.000     1.000     1.000     0.277     0.322  386
         *         *         *     0.000     0.000         *     1.000     0.000     0.000     0.000    -1.000     0.000    -0.524     0.357  387
     1.000     1.000     1.000     3.000     3.000     3.000         *         *         *         *         *         *     1.199     0.563  388
     2.000     3.000     2.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     3.000     2.000     1.678     0.322  389
     0.000     1.000     1.000     1.000     1.000     2.000     0.000     2.000     1.000     1.000     1.000     1.000     0.381     0.322  390
     2.000     0.000     2.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     2.000     2.000     0.695     0.322  391
     2.000     2.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     1.000     3.000     0.303     0.322  392
     1.000    -2.000     1.000    -2.000    -2.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.058     0.322  393
     1.000    -1.000     0.000     0.000    -1.000     1.000    -1.000     0.000     2.000     0.000     0.000     2.000    -0.159     0.322  394
    -2.000    -2.000    -2.000    -2.000    -3.000    -3.000    -2.000    -2.000     2.000     1.000    -2.000    -3.000    -1.713     0.322  395
     2.000    -2.000     0.000    -2.000    -3.000    -3.000     2.000     1.000     3.000     1.000     2.000     2.000     0.460     0.322  396
     2.000    -3.000     0.000    -3.000    -3.000    -3.000    -2.000    -2.000    -3.000    -2.000     0.000     0.000    -1.588     0.322  397
     2.000     1.000     1.000     1.000     1.000     0.000     2.000     1.000     2.000     2.000     2.000     0.000     0.749     0.322  398
     1.000     0.000     1.000    -1.000    -1.000    -1.000     1.000     1.000     1.000     1.000     2.000     2.000     0.422     0.322  399
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.265     0.322  400
     0.000     1.000     1.000    -1.000    -2.000    -2.000     1.000     1.000     1.000     2.000     2.000     2.000     0.451     0.322  401
    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.145     0.322  402
     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.000     2.000     3.000     1.899     0.322  403
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000     2.000    -3.000    -3.000    -3.000    -3.000    -2.534     0.322  404
     2.000    -2.000         *     0.000    -3.000    -3.000     0.000     0.000    -3.000    -2.000     0.000    -1.000    -1.101     0.327  405
     2.000    -1.000    -1.000     0.000     0.000    -1.000     2.000     2.000     1.000     2.000     3.000     2.000     0.790     0.322  406
     3.000     2.000     1.000     2.000     1.000     1.000     3.000     2.000     1.000     1.000     3.000     2.000     1.311     0.322  407
    -3.000    -2.000    -3.000    -2.000    -2.000    -3.000    -3.000     1.000    -2.000     3.000    -2.000     1.000    -1.454     0.322  408
     1.000     3.000     0.000     0.000     2.000     1.000     2.000     1.000     2.000     0.000     2.000     1.000     0.726     0.322  409
     1.000     3.000     3.000     2.000     1.000     2.000     3.000     3.000     2.000     3.000     3.000     2.000     1.729     0.322  410
    -3.000    -3.000    -3.000     3.000    -3.000    -3.000    -2.000     2.000    -2.000     2.000    -2.000    -2.000    -1.509     0.322  411
     0.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000    -1.000    -2.000     2.000     0.000    -0.286     0.322  412
     2.000    -3.000     1.000     3.000    -3.000    -2.000     1.000     1.000     1.000     2.000     2.000     2.000     0.452     0.322  413
    -1.000     1.000     1.000    -1.000    -1.000    -2.000     0.000    -1.000     1.000    -1.000         *     1.000    -0.438     0.351  414
     0.000    -3.000    -3.000    -3.000    -2.000    -3.000    -2.000    -2.000    -2.000    -2.000    -1.000     0.000    -1.883     0.322  415
     1.000     1.000     1.000     0.000    -1.000     0.000     0.000     1.000     0.000     0.000         *     1.000     0.031     0.351  416
     1.000    -2.000     1.000    -1.000    -3.000    -1.000     1.000     0.000    -1.000    -2.000    -1.000     1.000    -0.742     0.322  417
     3.000     1.000     2.000     3.000     3.000     1.000     1.000     3.000     2.000     2.000     3.000     2.000     1.394     0.322  418
     2.000     2.000     2.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     2.000     2.000     0.813     0.322  419
     3.000     1.000     1.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     1.905     0.322  420
     3.000    -1.000     3.000         *         *         *         *         *         *         *     1.000     3.000     0.861     0.455  421
     3.000    -1.000     2.000     2.000     3.000     2.000     3.000     2.000     0.000     3.000     3.000     2.000     1.307     0.322  422
     1.000    -1.000    -3.000     2.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000    -0.120     0.322  423
    -1.000     0.000    -2.000    -1.000    -3.000    -1.000     2.000     1.000     3.000     2.000    -3.000     2.000    -0.210     0.322  424
    -3.000    -3.000     0.000    -3.000    -3.000    -3.000     1.000     1.000    -1.000    -2.000    -1.000     1.000    -1.120     0.322  425
     1.000     0.000     2.000     2.000     0.000     1.000     1.000     2.000     3.000    -1.000     3.000     0.000     0.736     0.322  426
     2.000    -1.000     3.000     1.000     2.000         *     2.000     2.000     2.000     3.000     0.000     2.000     0.865     0.325  427
     2.000    -1.000     3.000     1.000     0.000     1.000     2.000     3.000     1.000     2.000     2.000     2.000     1.044     0.322  428
     1.000    -3.000    -3.000     0.000    -1.000    -3.000     1.000     1.000    -3.000     0.000     2.000     0.000    -0.610     0.322  429
     2.000    -3.000     0.000    -1.000    -2.000    -2.000    -1.000     0.000     0.000     2.000     2.000     1.000    -0.221     0.322  430
     0.000    -3.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000     0.000     0.000     1.000    -0.335     0.322  431
     0.000    -2.000     0.000     0.000    -1.000    -2.000     1.000     0.000     0.000     1.000     0.000     0.000    -0.463     0.322  432
    -3.000    -3.000    -1.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.903     0.322  433
     3.000     2.000     1.000     3.000     3.000     2.000     3.000     2.000     1.000     2.000     3.000     2.000     1.484     0.322  434
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.440     0.322  435
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000     0.000    -3.000     2.000     0.000    -3.000    -3.000    -2.001     0.322  436
     1.000    -3.000     0.000    -3.000    -3.000    -2.000     1.000    -1.000     1.000    -3.000     1.000    -2.000    -0.949     0.322  437
     0.000     1.000     2.000     1.000     2.000     2.000     2.000     1.000     1.000     2.000     3.000     3.000     1.123     0.322  438
     2.000     1.000     2.000     2.000     2.000     1.000     1.000     1.000     1.000     0.000     2.000     2.000     0.725     0.322  439
    -2.000    -3.000    -2.000    -3.000    -3.000    -3.000    -2.000    -3.000    -3.000    -3.000    -3.000         *    -2.723     0.341  440
         *         *         *         *         *         *     2.000     2.000     2.000     1.000     2.000     2.000     0.974     0.374  441
         *         *         *     0.000    -2.000    -2.000         *     0.000    -3.000    -3.000     0.000    -3.000    -1.687     0.383  442
         *         *         *         *         *         *     0.000     0.000     0.000     0.000     0.000     0.000    -0.560     0.374  443
     3.000    -2.000     3.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.253     0.322  444
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.998     0.322  445
     0.000    -2.000     0.000     2.000     0.000     0.000    -2.000     0.000    -2.000     0.000     0.000     0.000    -0.885     0.322  447
     1.000     0.000     0.000     0.000     0.000     0.000     2.000     1.000     2.000     2.000     2.000     1.000     0.638     0.322  448
     2.000     2.000     1.000     1.000     2.000     2.000     2.000     2.000     2.000     3.000     3.000     1.000     1.306     0.322  449
     2.000    -2.000     2.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     0.053     0.322  450
     3.000     3.000     3.000     3.000     3.000     1.000    -1.000     3.000     3.000     3.000     3.000     3.000     1.598     0.322  451
     2.000    -2.000     2.000     0.000     0.000     2.000     1.000    -1.000     1.000    -2.000     1.000     0.000    -0.177     0.322  452
    -1.000    -2.000    -1.000     0.000    -2.000    -2.000     1.000     1.000     0.000     1.000     1.000     0.000    -0.339     0.322  453
     2.000    -2.000     1.000    -2.000    -2.000    -2.000     2.000     2.000    -2.000     2.000     2.000     2.000     0.286     0.322  454
     0.000    -2.000     1.000     0.000    -2.000    -3.000    -2.000    -2.000    -2.000    -2.000     0.000     0.000    -1.385     0.322  455
     0.000    -1.000     2.000     0.000    -2.000    -2.000     0.000     0.000     0.000     1.000     1.000     0.000    -0.286     0.322  456
     2.000     2.000     1.000     1.000    -1.000     0.000     2.000     3.000     3.000     3.000     2.000     3.000     1.422     0.322  457
    -2.000     0.000     0.000     0.000    -2.000    -2.000     1.000     1.000     1.000     1.000         *     1.000    -0.070     0.351  458
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.440     0.322  459
     2.000    -1.000    -1.000    -2.000    -2.000    -2.000    -1.000     2.000     2.000     2.000    -1.000    -3.000    -0.640     0.322  460
    -2.000    -3.000    -2.000    -3.000    -3.000    -3.000     1.000    -2.000    -3.000    -2.000    -2.000    -3.000    -2.144     0.322  461
     0.000    -1.000     0.000     0.000    -1.000    -1.000    -1.000    -1.000    -1.000    -1.000     2.000    -2.000    -0.820     0.322  462
     2.000     2.000     3.000     3.000     2.000     3.000     3.000     2.000     2.000     3.000     3.000     2.000     1.717     0.322  463
     2.000    -2.000     2.000     0.000    -2.000    -1.000     1.000    -2.000     2.000    -1.000     2.000     0.000    -0.103     0.322  464
     3.000     3.000     2.000     0.000    -1.000    -1.000     3.000     2.000     2.000     2.000     3.000     0.000     1.218     0.322  465
     3.000     2.000     3.000    -1.000    -1.000     0.000     1.000     2.000     2.000     3.000     2.000     3.000     1.210     0.322  466
    -2.000    -3.000     1.000    -2.000    -2.000    -2.000     1.000     0.000    -2.000    -2.000     2.000    -2.000    -0.969     0.322  467
     1.000    -1.000     1.000     0.000    -1.000    -1.000     1.000     0.000     1.000    -1.000     1.000     0.000    -0.181     0.322  468
         *         *         *         *         *    -3.000     0.000     0.000     0.000     0.000     0.000    -3.000    -1.063     0.358  469
     3.000     3.000     2.000     2.000     2.000     2.000     2.000     3.000     2.000     2.000     2.000     2.000     1.471     0.322  470
     0.000     0.000     0.000     0.000     0.000    -2.000     0.000     2.000     0.000     2.000    -1.000     0.000    -0.327     0.322  471
     2.000     0.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.100     0.322  472
         *         *         *     2.000     2.000         *     0.000     1.000     1.000     1.000     2.000     2.000     0.598     0.357  473
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000     1.000    -3.000    -3.000    -3.000    -3.000    -3.000    -2.558     0.322  474
    -2.000    -3.000    -3.000    -2.000    -3.000    -3.000    -3.000     0.000    -3.000    -3.000    -3.000     1.000    -2.247     0.322  475
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.440     0.322  476
     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000    -0.066     0.322  477
     2.000     1.000     1.000     0.000    -1.000     1.000     2.000     2.000     2.000     2.000     2.000     3.000     1.111     0.322  478
     0.000    -2.000     1.000     0.000    -3.000    -3.000     0.000    -1.000     0.000     0.000    -2.000    -3.000    -1.331     0.322  479
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     1.121     0.322  480
     1.000     2.000     1.000     2.000     3.000     2.000     2.000     1.000    -1.000     0.000     1.000     1.000     0.427     0.322  481
     0.000    -2.000    -3.000    -2.000    -3.000    -3.000     1.000     0.000     0.000     0.000    -2.000     1.000    -1.006     0.322  482
     1.000     1.000     2.000     0.000    -1.000    -1.000     1.000     2.000     0.000     1.000     1.000     1.000     0.328     0.322  483
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.386     0.322  484
         *         *         *         *         *         *    -3.000    -3.000    -3.000     0.000    -3.000    -1.000    -2.450     0.374  485
     0.000    -1.000    -1.000     0.000     0.000     0.000     0.000    -1.000    -1.000    -1.000     0.000    -1.000    -0.899     0.322  486
    -3.000    -2.000    -2.000    -2.000    -3.000    -3.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.250     0.322  487
     1.000    -1.000     0.000     0.000    -2.000    -2.000     0.000     0.000     0.000     0.000     0.000    -1.000    -0.643     0.322  488
     1.000    -1.000     0.000     0.000     0.000     0.000     1.000     1.000     2.000     0.000     1.000    -2.000    -0.113     0.322  489
     2.000     1.000     1.000     2.000     2.000     3.000     3.000     3.000     2.000     2.000     3.000     3.000     1.641     0.322  490
     2.000     0.000     2.000     1.000     0.000     0.000     2.000     2.000     2.000     1.000     2.000     2.000     0.935     0.322  491
     3.000     3.000     3.000    -1.000    -3.000         *     3.000     3.000     3.000     3.000     3.000     3.000     1.744     0.325  492
     3.000    -3.000     0.000    -1.000    -2.000    -1.000     1.000     0.000     1.000     0.000     2.000    -1.000    -0.162     0.322  493
     3.000     3.000     3.000     3.000    -3.000    -3.000    -2.000     3.000     3.000     3.000     3.000     3.000     1.261     0.322  494
    -3.000    -3.000    -1.000    -2.000    -3.000    -3.000    -1.000     0.000    -1.000     0.000     1.000     1.000    -1.007     0.322  495
     1.000     0.000    -2.000    -1.000     0.000    -1.000    -2.000     0.000     1.000     0.000    -2.000    -1.000    -1.072     0.322  496
    -1.000     1.000     0.000    -1.000     1.000    -1.000     1.000    -1.000     2.000     0.000     1.000     3.000     0.127     0.322  497
     0.000     1.000     1.000     0.000    -2.000     1.000     1.000     0.000    -2.000     0.000     1.000     2.000    -0.047     0.322  498
     3.000    -3.000     1.000     1.000    -2.000     0.000     2.000     2.000     1.000     1.000     3.000     3.000     0.894     0.322  499
     3.000     3.000     3.000     1.000     1.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.025     0.322  500
    -3.000    -3.000     0.000     0.000     0.000    -3.000    -3.000    -3.000    -3.000    -3.000    -1.000    -2.000    -2.332     0.322  501
     2.000     3.000     3.000     2.000     3.000     2.000     0.000     0.000     0.000     0.000     0.000     0.000     0.170     0.322  502
     1.000     1.000     0.000     0.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     2.000     0.096     0.322  503
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.440     0.322  504
     0.000    -2.000     0.000     0.000     1.000     2.000     2.000     3.000     1.000     2.000     1.000     2.000     0.606     0.322  505
     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.118     0.322  506
     3.000    -3.000     1.000     0.000    -3.000    -3.000     3.000     1.000     3.000     3.000     3.000     3.000     1.073     0.322  507
     2.000     0.000     0.000    -1.000    -1.000    -1.000     1.000     1.000     0.000     0.000     1.000     0.000    -0.071     0.322  508
    -2.000    -2.000    -1.000    -1.000    -1.000    -1.000     0.000    -1.000    -1.000    -2.000     1.000     1.000    -0.891     0.322  509
     2.000     0.000     2.000     0.000         *     0.000     2.000     2.000     1.000     1.000     2.000    -1.000     0.521     0.322  510
    -3.000    -3.000     0.000    -1.000    -2.000    -2.000     1.000     1.000     0.000     1.000     1.000     1.000    -0.397     0.322  511
     1.000    -2.000     1.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     1.000     2.000     0.060     0.322  512
     2.000    -2.000    -2.000    -2.000    -2.000    -3.000    -2.000    -1.000    -2.000     0.000    -2.000    -1.000    -1.630     0.322  513
     0.000     0.000     0.000     0.000    -2.000    -2.000     0.000     0.000    -1.000    -1.000     0.000    -1.000    -0.801     0.322  514
     3.000     2.000     2.000     3.000     2.000     2.000     3.000     3.000     2.000     3.000     3.000     2.000     1.776     0.322  515
     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     1.000     1.000     1.000     0.078     0.322  516
     3.000     1.000     2.000     2.000    -3.000    -3.000     1.000     1.000     0.000     0.000     2.000     0.000     0.284     0.322  517
     0.000    -2.000    -1.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -1.000     0.000    -1.654     0.322  518
     2.000     1.000     3.000     1.000     0.000     0.000     1.000     2.000     2.000     1.000     2.000     2.000     0.932     0.322  519
     0.000    -2.000     0.000    -3.000    -3.000    -3.000    -3.000     0.000    -3.000     0.000     0.000     0.000    -1.411     0.322  520
     2.000     2.000     1.000     2.000     3.000     2.000     2.000     1.000     2.000     1.000     2.000     0.000     0.869     0.322  521
     2.000     1.000     3.000     2.000     1.000    -2.000     3.000     2.000     1.000     1.000     3.000     2.000     1.175     0.322  522
     0.000    -2.000     0.000     0.000    -3.000     0.000     0.000     0.000    -3.000     0.000     0.000     0.000    -0.856     0.322  523
     2.000    -3.000     1.000     0.000    -3.000    -3.000    -2.000     2.000         *         *         *    -2.000    -0.848     0.387  524
     2.000     2.000     1.000     1.000     0.000     0.000    -1.000     0.000     0.000     1.000     2.000     0.000     0.121     0.322  525
     2.000     1.000    -1.000    -1.000     0.000    -2.000     1.000     0.000    -1.000     0.000     2.000    -1.000    -0.221     0.322  526
     3.000    -2.000     0.000     0.000    -2.000    -3.000    -3.000     1.000    -3.000     2.000     1.000    -3.000    -1.033     0.322  527
     0.000    -1.000    -3.000    -2.000    -2.000    -2.000     1.000     1.000     0.000     1.000     1.000     2.000    -0.200     0.322  528
    -2.000    -1.000    -1.000    -1.000    -2.000    -2.000     1.000     2.000    -1.000     0.000         *     0.000    -0.541     0.351  529
     0.000     0.000     2.000     2.000     0.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     0.978     0.322  530
     0.000    -3.000     0.000    -3.000    -3.000    -3.000    -2.000     0.000    -2.000    -1.000     0.000     0.000    -1.346     0.322  531
     3.000     3.000     3.000     3.000     3.000     2.000     3.000     2.000     2.000     2.000     3.000     3.000     1.822     0.322  532
     3.000     2.000     3.000     3.000     1.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.036     0.322  533
     1.000     1.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.020     0.322  534
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000    -0.251     0.322  535
     2.000     2.000     2.000     1.000    -1.000     1.000     1.000     1.000     2.000     2.000     1.000     3.000     0.906     0.322  536
     2.000     2.000     2.000    -2.000    -3.000    -1.000    -1.000    -1.000     1.000     1.000    -2.000    -2.000    -0.782     0.322  537
     0.000    -2.000    -2.000    -2.000    -2.000    -3.000    -2.000    -2.000    -2.000    -2.000    -1.000     1.000    -1.646     0.322  538
         *         *         *         *         *         *     1.000     3.000     3.000     3.000     2.000     3.000     1.402     0.374  539
